,checkin_id,created_at,rating_score,user_id,beer_id,beer_name,beer_style,beer_slug,brewery_name,brewery_country,brewery_city,venue_country,venue_city
60,916069756,2020,3.0,1279815,2108281,Бессмертие Идунн,Cider - Traditional,medovarnya-tradicii-predkov-bessmertie-idunn,Медоварня Традиции Предков,Russia,Kursk,Belarus,Віцебск
61,916069408,2020,3.25,1279815,3865107,Badger Flanders,Sour - Flanders Red Ale,badger-brewery-badger-flanders,Badger Brewery,Belarus,,Belarus,Віцебск
62,916068705,2020,4.0,1279815,3860499,Departure,Sour - Fruited,valaduta-brovar-departure,Valaduta Brovar,Belarus,Володута,Belarus,Віцебск
63,915605099,2020,3.25,1279815,3832252,Freshly Hallows,Cider - Dry,beetlefield-freshly-hallows,Beetlefield,Belarus,Minsk,Belarus,Мінск
64,915327904,2020,4.0,1279815,3813426,Juicenator,IPA - New England,plan-b-brewery-juicenator,Plan B Brewery,Russia,Yaroslavl,Belarus,Мінск
65,915326803,2020,3.75,1279815,2668168,Sunrise,Cider - Other Fruit,gravity-project-sunrise,Gravity Project,Russia,Saint Petersburg,Belarus,Мінск
66,915321658,2020,4.0,1279815,3723964,Johnny Ginger,Cider - Herbed / Spiced / Hopped,apple-core-cidery-johnny-ginger,Apple Core Cidery,Russia,Moscow,Belarus,Мінск
67,915305875,2020,3.5,1279815,3335186,Sour Station (Raspberry),Sour - Berliner Weisse,axiom-brewery-sour-station-raspberry,Axiom Brewery,Czech Republic,Průmyslová 3,Belarus,Минск
68,915305428,2020,4.0,1279815,516760,St. Anton Barberry Cider (Барбарис),Cider - Other Fruit,yablochny-spas-yablochnyj-spas-st-anton-barberry-cider-barbaris,Yablochny Spas (Яблочный Спас),Russia,Suvorov,Belarus,Минск
69,915305109,2020,4.0,1279815,3842654,The Binge Watching,IPA - Imperial / Double New England,zagovor-brewery-binge-watching,Zagovor Brewery,Russia,Moscow,Belarus,Минск
70,915259341,2020,3.25,1279815,3480510,My Guilty Pleasure,Sour - Fruited,fff-brew-my-guilty-pleasure,FFF BREW,Russia,Moscow,Belarus,Minsk
71,915250318,2020,4.0,1279815,3842655,Lost In Fjords,IPA - Sour,zagovor-brewery-lost-in-fjords,Zagovor Brewery,Russia,Moscow,Belarus,Minsk
72,915249402,2020,4.0,1279815,2640851,Systems Overload,IPA - Triple New England,zagovor-brewery-systems-overload,Zagovor Brewery,Russia,Moscow,Belarus,Minsk
73,915249325,2020,3.75,1279815,3829679,TEARS DON'T FALL,Sour - Fruited,coven-brewery-tears-don-t-fall,COVEN Brewery,Russia,Moscow,Belarus,Minsk
74,915216582,2020,3.75,1279815,3855452,Poklič: Bez,Farmhouse Ale - Saison,malanka-poklic-bez,Malanka,Belarus,Minsk,Belarus,Мінск
75,915212662,2020,4.25,1279815,3287045,Totem,Sour - Fruited,jungle-brewery-totem,Jungle Brewery,Belarus,Юзуфово,Belarus,Мінск
76,914975289,2020,2.5,1279815,3808836,Klyukoze (Клюкозе),Sour - Gose,pan-kachyn-pan-kachyn-klyukoze-klyukoze,Pan Kachyn (Пан Качын),Belarus,Zhazhelka,Belarus,Мінск
77,914629502,2020,0.0,1279815,3850501,Bahna,Stout - Imperial / Double,malanka-bahna,Malanka,Belarus,Minsk,Belarus,Мінск
78,914050391,2020,4.0,1279815,3263346,It's A Mango,Cider - Other Fruit,gravity-project-it-s-a-mango,Gravity Project,Russia,Saint Petersburg,Belarus,Мінск
79,914029211,2020,3.25,1279815,3831565,Ich Weiss Nicht,Hefeweizen,beetlefield-ich-weiss-nicht,Beetlefield,Belarus,Minsk,Belarus,Мінск
80,913968885,2020,3.25,1279815,3406271,Солянка (Smoked Bacon Soup),Sour - Gose,hophead-brewery-solyanka-smoked-bacon-soup,Hophead Brewery,Russia,Saint Petersburg,Belarus,Мінск
81,913952106,2020,4.25,1279815,3834144,Экстраверсия,Sour - Fruited Gose,big-village-brewery-ekstraversiya,Big Village Brewery,Russia,Krasnodar,Belarus,Minsk
82,913906559,2020,4.0,1279815,3704834,Cranberry Pie,Cider - Other Fruit,gravity-project-cranberry-pie,Gravity Project,Russia,Saint Petersburg,Belarus,Мінск
83,913894453,2020,3.25,1279815,3809474,boolshit,IPA - Session / India Session Ale,beetlefield-boolshit,Beetlefield,Belarus,Minsk,Belarus,Мінск
84,913876730,2020,3.0,1279815,2967797,"Осторожно, сидр! Smoked point (ex. Жги, Ева)",Cider - Traditional,toksovskaya-sidreriya-on-the-bones-ostorozhno-sidr-smoked-point-ex-zhgi-eva,Токсовская Сидрерия (On The Bones),Russia,Saint Petersburg,Belarus,Мінск
85,913873804,2020,4.0,1279815,3725215,Fluffy Smoosh: Mango,Sour - Fruited,black-cat-brewery-fluffy-smoosh-mango,Black Cat Brewery,Russia,Moscow,Belarus,Мінск
86,913859779,2020,3.5,1279815,3832252,Freshly Hallows,Cider - Dry,beetlefield-freshly-hallows,Beetlefield,Belarus,Minsk,Belarus,Мінск
87,913858755,2020,4.25,1279815,3842019,System of Sound,IPA - Imperial / Double New England,big-village-brewery-system-of-sound,Big Village Brewery,Russia,Krasnodar,Belarus,Мінск
88,913821168,2020,4.25,1279815,3287045,Totem,Sour - Fruited,jungle-brewery-totem,Jungle Brewery,Belarus,Юзуфово,Belarus,Мінск
89,913820711,2020,4.0,1279815,3820273,Floodlight,IPA - New England,big-village-brewery-floodlight,Big Village Brewery,Russia,Krasnodar,Belarus,Мінск
90,913794179,2020,4.0,1279815,3817466,G.O.S.E. | Raspberry & Ginger,Sour - Fruited Gose,xp-brew-g-o-s-e-raspberry-and-ginger,XP Brew,Russia,Gagarin,Belarus,Мінск
91,913504945,2020,3.5,1279815,3832252,Freshly Hallows,Cider - Dry,beetlefield-freshly-hallows,Beetlefield,Belarus,Minsk,Belarus,
92,913504193,2020,3.5,1279815,1707304,APA Vic Secret & Galaxy,Pale Ale - American,wolf-s-brewery-volkovskaya-pivovarnya-apa-vic-secret-and-galaxy,Wolf's Brewery (Волковская Пивоварня),Russia,Moscow,Belarus,
93,913503403,2020,3.5,1279815,1423226," Пшанічнае пiва, Светлае ",Hefeweizen,lidskoe-pivo-lidskoe-pivo-pshanichnae-piva-svetlae,Lidskoe Pivo (Лидское Пиво),Belarus,Lida,Belarus,
94,913502013,2020,4.25,1279815,3841368,Acid Toad,Sour - Fruited,jungle-brewery-acid-toad,Jungle Brewery,Belarus,Юзуфово,Belarus,
95,913501718,2020,3.75,1279815,3821744,Леташнiя фарбы Трускаўка,Fruit Beer,deadly-fresh-brew-letashniya-farby-truska-ka,DEADLY FRESH BREW,Belarus,,Belarus,
96,913303117,2020,4.25,1279815,3841892,Muson: Cytrus,Sour - Fruited,malanka-muson-cytrus,Malanka,Belarus,Minsk,Belarus,
97,913218670,2020,3.5,1279815,3474114,The IPA,IPA - American,pervaya-remeslennaya-pivovarnya-hops-the-ipa,Первая Ремесленная Пивоварня Hops,Belarus,улица Колесникова 38,Belarus,
98,913141799,2020,3.5,1279815,3098219,Firestarter,Sour - Gose,lis-brew-firestarter,LiS Brew,Russia,Saint Petersburg,Belarus,
99,913120312,2020,4.0,1279815,2426012,Лось и Кедр. V.2.0 (Версия 2.0),Cider - Herbed / Spiced / Hopped,los-i-kedr-los-i-kedr-v-2-0-versiya-2-0,Лось и Кедр (Moose & Cedar),Russia,Barnaul,Belarus,
100,913109234,2020,3.75,1279815,2756816,Лось и Кедр. V.15.0 (Версия 15.0),Cider - Herbed / Spiced / Hopped,los-i-kedr-los-i-kedr-v-15-0-versiya-15-0,Лось и Кедр (Moose & Cedar),Russia,Barnaul,Belarus,
101,912841564,2020,3.5,1279815,3852136,Summer Breeze,IPA - Session / India Session Ale,13-litar-summer-breeze,13 Litar,Belarus,д. Теребунь,Belarus,Мінск
102,912840599,2020,3.5,1279815,3820104,BERGHAIN,Sour - Other,biirlandziya-biirlandziya-berghain,Бiiрландзiя (Биирландзия),Belarus,,Belarus,Мінск
103,912817501,2020,3.75,1279815,3724356,Xylophone,Sour - Fruited,ostrovica-xylophone,Ostrovica,Russia,Asha,Belarus,Мінск
104,912781337,2020,4.25,1279815,3841368,Acid Toad,Sour - Fruited,jungle-brewery-acid-toad,Jungle Brewery,Belarus,Юзуфово,Belarus,Мінск
105,912763712,2020,4.5,1279815,3287045,Totem,Sour - Fruited,jungle-brewery-totem,Jungle Brewery,Belarus,Юзуфово,Belarus,Мінск
106,912721887,2020,0.0,1279815,3841660,Friday's Sour Wave,Sour - Other,bierbank-friday-s-sour-wave,BIERBANK,Belarus,Минск,Belarus,
107,912564871,2020,4.0,1279815,3792167,Angry Notion,Sour - Fruited,selfmade-brewery-angry-notion,Selfmade Brewery,Russia,Moscow,Belarus,Мінск
108,912474720,2020,4.25,1279815,1663314,Sour Ale With Passion Fruit Pulp,Sour - Fruited,salden-s-brewery-sour-ale-with-passion-fruit-pulp,Salden's Brewery,Russia,Tula,Belarus,Мінск
109,912454530,2020,3.5,1279815,3798009,Kombucha Easy: Чай черный с бергамотом,Kombucha,easy-soup-combucha-easy-chaj-chernyj-s-bergamotom,Easy Soup,Belarus,,Belarus,Мінск
110,912354035,2020,4.0,1279815,5999,1664 Blanc,Wheat Beer - Witbier,kronenbourg-brewery-1664-blanc,Kronenbourg Brewery,France,Strasbourg,Belarus,Мінск
